topic,component,metric,common_question_terms,unit,filter_conditions,time_rule,aggregation
能源管理,充电桩运行,负荷,负荷；充电桩运行,kW,充电桩=充电桩8；运行状态=空闲,固定展示值。,当期
能源管理,充电桩运行,负荷,负荷；充电桩运行,kW,充电桩=充电桩9；运行状态=空闲,固定展示值。,当期
能源管理,充电桩运行,慢充充电枪总数,慢充充电枪总数；充电桩运行,件,,固定展示值。,当期
能源管理,充电桩运行,慢充充电中,慢充充电中；充电桩运行,个,,固定展示值。,当期
能源管理,充电桩运行,慢充空闲,慢充空闲；充电桩运行,个,,固定展示值。,当期
能源管理,充电桩运行,慢充停用,慢充停用；充电桩运行,个,,固定展示值。,当期
能源管理,充电桩运行,慢充异常,慢充异常；充电桩运行,个,,固定展示值。,当期
能源管理,充电桩运行,超充充电枪总数,超充充电枪总数；充电桩运行,件,,固定展示值。,当期
能源管理,充电桩运行,超充充电中,超充充电中；充电桩运行,个,,固定展示值。,当期
能源管理,充电桩运行,超充空闲,超充空闲；充电桩运行,个,,固定展示值。,当期
能源管理,充电桩运行,超充停用,超充停用；充电桩运行,个,,固定展示值。,当期
能源管理,充电桩运行,超充异常,超充异常；充电桩运行,个,,固定展示值。,当期
资产管理,资产告警处理趋势,已完成,已完成；资产告警处理趋势,台,告警处理状态=已完成,系统时间月份内按日展示。,当期
资产管理,资产告警处理趋势,处理中,处理中；资产告警处理趋势,台,告警处理状态=处理中,系统时间月份内按日展示。,当期
资产管理,资产告警处理趋势,待处理,待处理；资产告警处理趋势,台,告警处理状态=待处理,系统时间月份内按日展示。,当期
综合态势,日用能统计,本月总用气量,本月总用气量；日用能统计；本月用气；本月用气量；用气多少,m³,,系统时间月份内按日累计；问本月总量时取当月最后一个日序列值。,月累计
综合态势,日用能统计,本月总用水量,本月总用水量；日用能统计；本月用水；本月用水量；用水多少,m³,,系统时间月份内按日累计；问本月总量时取当月最后一个日序列值。,月累计
综合态势,日用能统计,本月总用电量,本月总用电量；日用能统计；本月用电；本月用电量；用电多少,GWh,,系统时间月份内按日累计；问本月总量时取当月最后一个日序列值。,月累计
综合态势,日用能统计,本月节能达成率,本月节能达成率；日用能统计；节能达成率；节能率,%,,系统时间月份内按日展示。,截至当日
设施管理,设施工单,工单数量,工单数量；设施工单；工单量；工单数,件,,系统时间月份内按日展示。,当期
设施管理,设施告警,告警数,告警数；设施告警；告警数量；告警量,件,,系统时间月份内按日展示。,当期
设施管理,设施运行,时长,时长；设施运行,分钟,,系统时间月份内按日展示。,当期
能源管理,光伏收益,收益,收益；光伏收益,元,,按小时展示。,当期
能源管理,充电桩运行,负荷,负荷；充电桩运行,kW,负荷类型=逆变器实际功率,按小时展示。,当期
能源管理,充电桩运行,负荷,负荷；充电桩运行,kW,负荷类型=功率预测,按小时展示。,当期
能源管理,光伏运行,发电量,发电量；光伏运行,GWh,,按小时展示。,当期
能源管理,充电桩运行,负荷,负荷；充电桩运行,kW,,按小时展示。,当期
综合态势,工单处理统计,工单数,工单数；工单处理统计；工单数量；工单量,件,工单状态=处理中,系统年度内按月展示。,当期
综合态势,工单处理统计,工单数,工单数；工单处理统计；工单数量；工单量,件,工单状态=待处理,系统年度内按月展示。,当期
综合态势,工单处理统计,工单数,工单数；工单处理统计；工单数量；工单量,件,工单状态=已关闭,系统年度内按月展示。,当期
